"","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"906","TU","Fish",198603,179,"Notropis atherinoides","Cyprinidae",NA,NA,30.74195,-89.82528,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank at second bend above River Mile 54.",NA,NA,2005,7,15,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","2004-2013","impact_2004-2013",4
"892","TU","Fish",197744,28,"Notropis atherinoides","Cyprinidae",NA,NA,30.74055,-89.82694,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank at River Mile 54",NA,NA,2004,10,30,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","2004-2013","impact_2004-2013",4
"907","TU","Fish",198613,315,"Notropis atherinoides","Cyprinidae",NA,NA,30.74055,-89.82694,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank at River Mile 54",NA,NA,2005,7,15,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","2004-2013","impact_2004-2013",4
"885","TU","Fish",197278,42,"Notropis atherinoides","Cyprinidae",NA,NA,30.74055,-89.82694,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank at River Mile 54",NA,NA,2004,7,17,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","2004-2013","impact_2004-2013",4
"113","TU","Fish",34758,7,"Percina vigil","Percidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above Coburn Creek, 1.4 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1964,10,16,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973","control_1964-1973",2
"1091","TU","Fish",33226,18,"Percina vigil","Percidae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks; 1.4 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1964,6,11,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973","control_1964-1973",2
"177","TU","Fish",68677,9,"Percina vigil","Percidae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa - Fish Stat. #2.",NA,NA,1971,4,20,"R.D. Suttkus & B.A. Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973","control_1964-1973",2
"192","TU","Fish",83736,19,"Percina vigil","Percidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River below mouth of Coburn Creek.",NA,NA,1973,7,11,"R.D. Suttkus & B.A. Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973","control_1964-1973",2
"1661","TU","Fish",57364,6,"Percina vigil","Percidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek; 1.5 mi. E of Bogalusa - Fish Stat. #1.",NA,NA,1969,5,9,"R.D. Suttkus & Cashner",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973","control_1964-1973",2
"273","TU","Fish",121280,5,"Percina vigil","Percidae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank between mouth of Coburn & Bogalusa Creeks.",NA,NA,1981,4,30,"R.D. Suttkus & P.Y. Sorensen",NA,NA,"PreservedSpecimen","",NA,"control","1974-1983","control_1974-1983",2
"257","TU","Fish",115152,16,"Percina vigil","Percidae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank between Coburn & Bogalusa Creeks, 1.5 mi. E of Bogalusa.",NA,NA,1979,10,24,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1974-1983","control_1974-1983",2
"272","TU","Fish",121253,4,"Percina vigil","Percidae",NA,NA,30.7825,-89.82027,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along left bank, 1.0 mi. below Hwy. 10 bridge.",NA,NA,1981,4,30,"R.D. Suttkus & P.Y. Sorensen",NA,NA,"PreservedSpecimen","",NA,"control","1974-1983","control_1974-1983",2
"256","TU","Fish",115131,7,"Percina vigil","Percidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along left bank above Coburn Creek 1.5 mi. E of Bogalusa.",NA,NA,1979,10,24,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1974-1983","control_1974-1983",2
"285","TU","Fish",125153,8,"Percina vigil","Percidae",NA,NA,30.77583,-89.82722,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank opposite mouth of Coburn Creek.",NA,NA,1982,4,29,"R.D. Suttkus & S.O. Rohmann",NA,NA,"PreservedSpecimen","",NA,"control","1974-1983","control_1974-1983",2
"1671","TU","Fish",57383,23,"Percina vigil","Percidae",NA,NA,30.75667,-89.82611,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River 0.5 mi. downstream from Richardson Landing; 1.5 mi. SE of Bogalusa - Fish Stat. #3.",NA,NA,1969,5,9,"R.D. Suttkus & Cashner",NA,NA,"PreservedSpecimen","",NA,"impact","1964-1973","impact_1964-1973",2
"96","TU","Fish",193429,4,"Percina vigil","Percidae",NA,NA,30.7825,-89.82027,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank 1 mi. below LA Hwy. 10 bridge.",NA,NA,2001,10,7,"",NA,NA,"PreservedSpecimen","",NA,"control","1994-2003","control_1994-2003",2
"62","TU","Fish",184049,5,"Percina vigil","Percidae",NA,NA,30.7825,-89.82027,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank 1.0 mi. below LA Hwy. 10.",NA,NA,1997,6,28,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"control","1994-2003","control_1994-2003",2
