InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
TU,Fish,79538,15,Ictalurus punctatus,Ictaluridae,,,30.75667,-89.82611,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar 0.5 mi. below Richardson Landing.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79528,8,Carpiodes velifer,Catostomidae,,,30.75667,-89.82611,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar 0.5 mi. below Richardson Landing.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79531,4,Hybognathus nuchalis,Cyprinidae,,,30.75667,-89.82611,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar 0.5 mi. below Richardson Landing.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79542,7,Hybognathus nuchalis,Cyprinidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,"Pearl River at sandbar, River Mile 54 - Fish Stat. #4.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79544,42,Notropis atherinoides,Cyprinidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,"Pearl River at sandbar, River Mile 54 - Fish Stat. #4.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79548,37,Ictalurus punctatus,Ictaluridae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,"Pearl River at sandbar, River Mile 54 - Fish Stat. #4.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79549,3,Lepomis macrochirus,Centrarchidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,"Pearl River at sandbar, River Mile 54 - Fish Stat. #4.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79550,2,Lepomis megalotis,Centrarchidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,"Pearl River at sandbar, River Mile 54 - Fish Stat. #4.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79547,0,Pimephales vigilax,Cyprinidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,"Pearl River at sandbar, River Mile 54 - Fish Stat. #4.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79552,1,Percina vigil,Percidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,"Pearl River at sandbar, River Mile 54 - Fish Stat. #4.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79541,16,Carpiodes velifer,Catostomidae,,,30.74055,-89.82694,,,United States of America,Louisiana,Washington,,,"Pearl River at sandbar, River Mile 54 - Fish Stat. #4.",,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79560,17,Ictalurus punctatus,Ictaluridae,,,30.705,-89.84611,,,United States of America,Louisiana,Washington,,,Pearl River just above sill at Pools Bluff; 4 mi. S of Bogalusa - Fish Stat. #5.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
