"","fish_psite_combo","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp.x","psite_count","scaled_TL_mm","Fish_sp.x","psite_spp.y","Fish_sp.y","Life_History","Parasite_taxonomic_group"
"55","Ictalurus punctatus_ACAN.OSTR","115142","1979",10,"24","1152142_01","SC JT KL","6/27/2024",NA,74,61,"2764","control","control_1974-1983","30.76805","-89.83083","ACAN.OSTR",0,-0.23259167327585,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"56","Ictalurus punctatus_ACAN.OSTR","118276","1980",10,"23","118276_01","DD KL CHW CNW","1/17/2024",NA,60,49,NA,"control","control_1974-1983","30.76805","-89.83083","ACAN.OSTR",0,-0.793151102486118,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"57","Ictalurus punctatus_ACAN.OSTR","118276","1980",10,"23","118276_02","GC","1/17/2024",NA,89,64,NA,"control","control_1974-1983","30.76805","-89.83083","ACAN.OSTR",0,0.368007715163724,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"58","Ictalurus punctatus_ACAN.OSTR","124399","1982",1,"28","124399_02","JT SC KL","6/27/2024",NA,74,54,"2200","control","control_1974-1983","30.77861","-89.82972","ACAN.OSTR",0,-0.23259167327585,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"59","Ictalurus punctatus_ACAN.OSTR","124399","1982",1,"28","124399_01","DJB KL","6/27/2024",NA,93,67,"5063","control","control_1974-1983","30.77861","-89.82972","ACAN.OSTR",0,0.528167552080943,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"60","Ictalurus punctatus_ACAN.OSTR","136244","1984",7,"17","136244_01","DJB GMC","6/27/2024",NA,139,104,"15681","impact","impact_1984-1993","30.74055","-89.82694","ACAN.OSTR",0,2.37000567662897,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"61","Ictalurus punctatus_ACAN.OSTR","136244","1984",7,"17","136244_02","IJ SC CJW","6/27/2024",NA,127,88,"10599","impact","impact_1984-1993","30.74055","-89.82694","ACAN.OSTR",0,1.88952616587731,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"62","Ictalurus punctatus_ACAN.OSTR","146787","1986",10,"9","146787_01","KL","7/14/2023",NA,85,64,NA,"impact","impact_1984-1993","30.70222","-89.84417","ACAN.OSTR",0,0.207847878246504,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"63","Ictalurus punctatus_ACAN.OSTR","146787","1986",10,"9","146787_02","CNW KL","11/30/2023",NA,85,68,NA,"impact","impact_1984-1993","30.70222","-89.84417","ACAN.OSTR",0,0.207847878246504,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"64","Ictalurus punctatus_ACAN.OSTR","147855","1987",1,"22","147855_02","CHW KL","11/27/2023",NA,87,64,NA,"control","control_1984-1993","30.76528","-89.83222","ACAN.OSTR",0,0.287927796705114,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"65","Ictalurus punctatus_ACAN.OSTR","147855","1987",1,"22","147855_01","GC","11/27/2023","na",50,39,NA,"control","control_1984-1993","30.76528","-89.83222","ACAN.OSTR",0,-1.19355069477917,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"66","Ictalurus punctatus_ACAN.OSTR","153841","1988",10,"20","153841_02","JT CJW","6/25/2024",NA,101,75,"6185","impact","impact_1984-1993","30.70222","-89.84417","ACAN.OSTR",0,0.848487225915382,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
