"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"137","156672",1989,10,12,"156672_03","DJB CJW","07/09/2024",NA,50,37,"848","impact","impact_1984-1993","30.75667","-89.82611","ACAN.AD",0
"138","156672",1989,10,12,"156672_02","DJB GMC","07/09/2024",NA,53,41,"1136","impact","impact_1984-1993","30.75667","-89.82611","ACAN.AD",0
"139","160024",1991,1,3,"160024_04","jt djb ij kl","07/16/2024","na",96,73,"6710","impact","impact_1984-1993","30.70222","-89.84417","ACAN.AD",0
"140","160024",1991,1,3,"160024_03","djb sc kl","07/16/2024","na",98,76,"2098","impact","impact_1984-1993","30.70222","-89.84417","ACAN.AD",0
"141","160024",1991,1,3,"160024_01","sc ij dmdm","07/16/2024","na",113,93,"12164","impact","impact_1984-1993","30.70222","-89.84417","ACAN.AD",0
"142","160024",1991,1,3,"160024_02","IJ KL","07/16/2024",NA,105,84,"6552","impact","impact_1984-1993","30.70222","-89.84417","ACAN.AD",0
"143","161604",1991,10,26,"161604_01","sc clw cjw","07/12/2024","na",68,57,"2564","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"144","161604",1991,10,26,"161604_03","djb clw gmc","07/11/2024","na",71,56,"3079","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"145","161604",1991,10,26,"161604_04","DJB CLW","07/11/2024",NA,69,55,"2638","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"146","161604",1991,10,26,"161604_02","KL","07/11/2024","na",71,57,"3166","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"147","172513",1995,1,14,"172513_02","IJ DJB/KL","07/09/2024",NA,67,54,"2565","control","control_1994-2003","30.77861","-89.82972","ACAN.AD",0
"148","172513",1995,1,14,"172513_03","JT KL","07/09/2024","F",75,58,"3215","control","control_1994-2003","30.77861","-89.82972","ACAN.AD",0
"149","172513",1995,1,14,"172513_01","JT JT/DJB/CJW","07/09/2024",NA,73,56,"2754","control","control_1994-2003","30.77861","-89.82972","ACAN.AD",0
"150","172513",1995,1,14,"172513_04","JT/GMC/IJ","07/09/2024",NA,69,56,"2351","control","control_1994-2003","30.77861","-89.82972","ACAN.AD",0
"151","174634",1995,4,29,"174634_01","sc gmc ij","07/15/2024","na",72,60,"3940","impact","impact_1994-2003","30.76222","-89.83111","ACAN.AD",0
"152","174634",1995,4,29,"174634_04","jt kl","07/12/2024","f",80,65,"5333","impact","impact_1994-2003","30.76222","-89.83111","ACAN.AD",0
"153","174634",1995,4,29,"174634_02","GMC CJW","07/12/2024",NA,98,82,"6557","impact","impact_1994-2003","30.76222","-89.83111","ACAN.AD",0
"154","174634",1995,4,29,"174634_03","djb sc kl","07/12/2024","na",93,73,"5623","impact","impact_1994-2003","30.76222","-89.83111","ACAN.AD",0
