"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"142","109076","1978",8,"29","109076_01","SC DJB CJW","6/27/2024",NA,67,50,2038,"control","control_1974-1983","30.77861","-89.82972","CEST.COMP",0
"143","115142","1979",10,"24","115142_01","IJ DHB.SC ","6/27/2024",NA,81,60,3727,"control","control_1974-1983","30.76805","-89.83083","CEST.COMP",0
"144","115142","1979",10,"24","1152142_02","SC JT KL","6/27/2024",NA,74,61,2764,"control","control_1974-1983","30.76805","-89.83083","CEST.COMP",0
"145","118276","1980",10,"23","118276_01","DD KL CHW CNW","1/17/2024",NA,60,49,NA,"control","control_1974-1983","30.76805","-89.83083","CEST.COMP",0
"146","118276","1980",10,"23","118276_02","GC","1/17/2024",NA,89,64,NA,"control","control_1974-1983","30.76805","-89.83083","CEST.COMP",0
"147","124399","1982",1,"28","124399_02","JT SC KL","6/27/2024",NA,74,54,2200,"control","control_1974-1983","30.77861","-89.82972","CEST.COMP",0
"148","124399","1982",1,"28","124399_01","DJB KL","6/27/2024",NA,93,67,5063,"control","control_1974-1983","30.77861","-89.82972","CEST.COMP",0
"149","136244","1984",7,"17","136244_01","DJB GMC","6/27/2024",NA,139,104,15681,"impact","impact_1984-1993","30.74055","-89.82694","CEST.COMP",0
"150","136244","1984",7,"17","136244_02","IJ SC CJW","6/27/2024",NA,127,88,10599,"impact","impact_1984-1993","30.74055","-89.82694","CEST.COMP",0
"151","146787","1986",10,"9","146787_01","KL","7/14/2023",NA,85,64,NA,"impact","impact_1984-1993","30.70222","-89.84417","CEST.COMP",0
"152","146787","1986",10,"9","146787_02","CNW KL","11/30/2023",NA,85,68,NA,"impact","impact_1984-1993","30.70222","-89.84417","CEST.COMP",0
"153","147855","1987",1,"22","147855_02","CHW KL","11/27/2023",NA,87,64,NA,"impact","impact_1984-1993","30.76528","-89.83222","CEST.COMP",0
"154","147855","1987",1,"22","147855_01","GC","11/27/2023","na",50,39,NA,"impact","impact_1984-1993","30.76528","-89.83222","CEST.COMP",0
"155","153841","1988",10,"20","153841_02","JT CJW","6/25/2024",NA,101,75,6185,"impact","impact_1984-1993","30.70222","-89.84417","CEST.COMP",0
"156","153841","1988",10,"20","153841_01","DJB JT GMC","6/26/2024",NA,101,73,5899,"impact","impact_1984-1993","30.70222","-89.84417","CEST.COMP",0
"157","157299","1990",1,"25","157299_01","JT DJB KL","6/26/2024",NA,98,70,5110,"control","control_1984-1993","30.77583","-89.82722","CEST.COMP",0
"158","157299","1990",1,"25","157299_02","SC DJB DMDM","6/27/2024",NA,84,65,2725,"control","control_1984-1993","30.77583","-89.82722","CEST.COMP",0
"159","157316","1990",1,"25","157316_01","JT DJB GMC","6/27/2024",NA,70,52,1795,"impact","impact_1984-1993","30.75667","-89.82611","CEST.COMP",0
"160","157316","1990",1,"25","157316_02","IJ DJB/ KL ","6/27/2024","MA",40,38,NA,"impact","impact_1984-1993","30.75667","-89.82611","CEST.COMP",0
"161","157351","1990",1,"25","157351_02","DJB DMDM","6/27/2024",NA,127,95,11785,"impact","impact_1984-1993","30.70222","-89.84417","CEST.COMP",0
"162","157351","1990",1,"25","157351_01","SC KL","6/27/2024",NA,108,80,NA,"impact","impact_1984-1993","30.70222","-89.84417","CEST.COMP",0
"163","159967","1991",1,"3","159967_01","SC JT KL","6/26/2024",NA,64,50,1534,"control","control_1984-1993","30.77583","-89.82722","CEST.COMP",0
"164","159967","1991",1,"3","159967_02","DJB GMC","6/26/2024",NA,69,51,1754,"control","control_1984-1993","30.77583","-89.82722","CEST.COMP",0
"165","160020","1991",1,"3","160020_02","IJ SC GMC","6/27/2024",NA,72,61,2872,"impact","impact_1984-1993","30.705","-89.84611","CEST.COMP",0
"166","160020","1991",1,"3","160020_01","DJB GMC","6/27/2024",NA,80,58,3120,"impact","impact_1984-1993","30.705","-89.84611","CEST.COMP",0
"167","182143","1997",1,"4","182143_02","DJB JT CJW","6/26/2024",NA,103,81,6953,"impact","impact_1994-2003","30.73694","-89.82694","CEST.COMP",0
"168","182143","1997",1,"4","182143_01","SC CLW","6/24/2024",NA,100,76,5450,"impact","impact_1994-2003","30.73694","-89.82694","CEST.COMP",0
"169","185384","1998",1,"24","185384_01","HT KL CNW","1/22/2024","na",100,78,NA,"impact","impact_1994-2003","30.75444","-89.82722","CEST.COMP",0
"170","185384","1998",1,"24","185384_02","SD KL DD GC CNW","1/23/2024",NA,55,45,NA,"impact","impact_1994-2003","30.75444","-89.82722","CEST.COMP",0
"171","190279","2000",1,"8","190279_01","DJB DJB/  GMC","6/27/2024",NA,114,81,8762,"control","control_1994-2003","30.77611","-89.82777","CEST.COMP",0
"172","190279","2000",1,"8","190279_02","SC DJB","6/26/2024",NA,59,45,1177,"control","control_1994-2003","30.77611","-89.82777","CEST.COMP",0
"173","190621","2000",4,"7","190621_02","IJ JT GMC","6/26/2024",NA,62,50,1542,"impact","impact_1994-2003","30.75444","-89.82722","CEST.COMP",0
